geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0000229	156.22.00	126.34.00	236.42.00	185.38.00	138.57.00	111.38.00	231.35.00	104.16.00	171.55.00	162.55.00	36.24.00	193.33.00
FBgn0000233	1564.51.00	1575.19.00	123.45.00	5282.16.00	7189.32.00	7352.57.00	23.15	1427.08.00	1216.56.00	1090.03.00	3787.37.00	2748.31.00
FBgn0000239	32.47.00	32.36.00	166.33.00	136.42.00	195.33.00	132.31.00	57.06.00	21.02	112.08.00	200.36.00	34.13.00	50.56.00
FBgn0000241	5673.29.00	1205.27.00	1452.13.00	14256.18.00	360.23.00	242.35.00	3267.33.00	37.31.00	6532.48.00	2748.47.00	13525.46.00	5059.25.00
FBgn0000244	90.36.00	69.09.00	56.16.00	99.37.00	21.19	30.22.00	112.22.00	140.49.00	26.22.00	46.33.00	84.52.00	32.44.00
FBgn0000246	1458.37.00	835.59.00	595.24.00	543.51.00	701.32.00	1604.45.00	1138.56.00	1386.57.00	261.44.00	651.26.00	1236.04.00	141.28.00
FBgn0000247	1026.37.00	133.05.00	468.35.00	150.26.00	208.33.00	431.09.00	757.45.00	964.08.00	1110.54.00	127.39.00	5.35	1148.59.00
FBgn0000250	133.43.00	88.52.00	60.12.00	59.42.00	126.42.00	96.42.00	134.24.00	138.39.00	105.04.00	131.09.00	75.43.00	210.52.00
FBgn0000251	2686.01.00	233.39.00	4210.55.00	3767.55.00	2902.44.00	2476.19.00	3010.01.00	1830.32.00	3226.58.00	13501.28.00	4116.23.00	7039.28.00
FBgn0000253	400.04.00	381.59.00	980.44.00	507.25.00	2228.7	811.17.00	613.19.00	359.19.00	769.55.00	705.08.00	204.46.00	784.29.00
FBgn0000256	155.41.00	173.05.00	138.03.00	79.47.00	159.44.00	90.09.00	29.38.00	873.21.00	114.54.00	46.13.00	66.45.00	58.45.00
FBgn0000257	1186.07.00	1085.32.00	1554.41.00	568.14.00	1249.17.00	1048.44.00	238.45.00	982.49.00	1173.49.00	26.44.00	1354.11.00	257.08.00
FBgn0000259	116.19.00	153.07.00	167.58.00	130.19.00	194.51.00	172.08.00	182.01.00	63.17.00	149.02.00	189.21.00	94.16.00	181.54.00
FBgn0000261	116.21.00	170.34.00	341.01.00	172.32.00	156.51.00	308.49.00	152.09.00	152.43.00	277.11.00	315.28.00	160.56.00	341.47.00
FBgn0000273	763.11.00	142.52.00	63.13.00	23.48	70.31.00	164.45.00	34.22.00	77.46.00	155.29.00	110.37.00	89.47.00	50.49.00
FBgn0000274	3661.14.00	3096.05.00	5472.57.00	246.36.00	4742.09.00	364.06.00	100.35.00	6161.57.00	7682.24.00	0	15322.25.00	0
FBgn0000276	1443.29.00	104.23.00	16663.55.00	2582.51.00	127.34.00	644.35.00	0	9392.12.00	0	0	1730.35.00	0
FBgn0000277	179.12.00	909.23.00	1482.17.00	14424.05.00	8024.48.00	1413.21.00	0	5624.57.00	9254.07.00	0	4581.06.00	0
FBgn0000278	163.16.00	716.08.00	12965.56.00	9332.45.00	13185.55.00	106.53.00	0	450.43.00	1169.25.00	2604.34.00	0	2391.58.00
FBgn0000279	31.27.00	1093.23.00	137.34.00	1166.06.00	1332.36.00	220.44.00	0	28.03.00	2765.46.00	0	8924.49.00	3878.19.00
FBgn0000283	43.55.00	140.31.00	63.06.00	153.57.00	26.52.00	124.08.00	81.09.00	118.27.00	173.13.00	113.32.00	65.28.00	54.21.00
FBgn0000286	12.58	190.23.00	46.08.00	230.46.00	125.23.00	1354.54.00	1504.37.00	1020.42.00	719.57.00	1223.26.00	385.03.00	1076.01.00
FBgn0000287	334.59.00	521.08.00	1118.29.00	129.51.00	171.16.00	98.17.00	2658.16.00	15262.02.00	890.12.00	60.16.00	1366.54.00	25.41.00
FBgn0000289	32.09.00	74.46.00	141.58.00	64.08.00	83.48.00	82.12.00	128.23.00	155.31.00	48.42.00	170.14.00	32.42.00	52.15.00
FBgn0000299	16.02	85.22.00	32.08.00	85.53.00	125.02.00	162.47.00	180.09.00	136.24.00	309.54.00	163.19.00	177.09.00	276.33.00
FBgn0000303	12720.05.00	63.45.00	4692.22.00	16585.06.00	83.15.00	3851.08.00	10753.15.00	79.41.00	7673.33.00	3504.26.00	9303.46.00	0
FBgn0000307	1215.08.00	396.49.00	79.46.00	132.12.00	165.29.00	157.03.00	58.49.00	119.42.00	100.59.00	78.54.00	156.34.00	1185.45.00
FBgn0000308	1104.33.00	216.18.00	1599.54.00	969.48.00	224.28.00	1465.18.00	1470.03.00	320.08.00	1485.01.00	1447.26.00	186.23.00	1699.04.00
FBgn0000316	96.54.00	172.25.00	153.21.00	97.04.00	37.05.00	160.25.00	120.37.00	23.01	145.34.00	106.28.00	1405.16.00	198.39.00
FBgn0000317	1667.38.00	743.33.00	103.22.00	102.54.00	83.03.00	52.03.00	37.38.00	1053.23.00	60.14.00	92.35.00	41.49.00	29.22.00
FBgn0000318	363.56.00	210.11.00	338.01.00	318.44.00	568.37.00	327.08.00	358.04.00	176.51.00	426.18.00	315.39.00	116.03.00	350.05.00
FBgn0000319	207.44.00	76.38.00	229.27.00	136.05.00	90.58.00	150.14.00	138.31.00	58.39.00	162.32.00	219.21.00	129.12.00	120.48.00
FBgn0000320	51.32.00	952.14.00	108.24.00	200.34.00	84.14.00	161.25.00	1144.44.00	546.27.00	889.34.00	177.23.00	10208.18.00	143.17.00
FBgn0000326	27.54.00	17.36	139.33.00	61.31.00	37.56.00	16.58	64.41.00	16.06	161.58.00	101.49.00	124.11.00	36.55.00
FBgn0000330	93.56.00	65.18.00	54.29.00	135.56.00	162.11.00	167.42.00	125.03.00	19.14	58.55.00	179.33.00	50.24.00	82.11.00
FBgn0000337	15503.17.00	5009.39.00	8072.37.00	10103.52.00	30.41.00	363.47.00	0	9973.28.00	2588.15.00	0	443.06.00	3187.28.00
FBgn0000339	153.06.00	149.35.00	132.04.00	159.39.00	126.29.00	166.08.00	127.55.00	84.18.00	120.21.00	112.32.00	238.46.00	118.54.00
FBgn0000346	1526.27.00	47.04.00	607.24.00	509.47.00	73.24.00	859.08.00	429.54.00	442.14.00	156.09.00	342.44.00	202.14.00	546.59.00
FBgn0000351	604.19.00	5408.48.00	1632.02.00	174.27.00	8349.03.00	72.41.00	1586.19.00	8056.43.00	12.25	1530.05.00	7617.09.00	313.46.00
FBgn0000352	106.11.00	861.27.00	125.04.00	25.14.00	1165.12.00	154.14.00	189.26.00	126.33.00	27.35.00	75.01.00	898.34.00	44.58.00
FBgn0000355	2351.48.00	174.13.00	5675.34.00	3894.23.00	4790.34.00	2642.01.00	7186.27.00	3952.32.00	1879.03.00	9523.35.00	11160.55.00	1123.06.00
FBgn0000356	0	4957.09.00	0	0	0	7121.54.00	0	0	2722.44.00	0	0	0
FBgn0000357	16472.46.00	2146.53.00	944.52.00	56.28.00	15028.59.00	1350.03.00	861.19.00	16370.25.00	268.55.00	10278.08.00	10691.39.00	605.33.00
FBgn0000358	2302.41.00	4275.01.00	4590.38.00	7896.05.00	72.27.00	402.22.00	1366.32.00	2363.16.00	5664.31.00	0	3913.15.00	29.46.00
FBgn0000359	0	7068.25.00	0	0	1669.56.00	7489.29.00	0	9871.44.00	0	0	386.27.00	0
FBgn0000360	3084.31.00	4922.15.00	0	0	2132.32.00	1802.34.00	0	0	0	0	0	0
FBgn0000370	699.43.00	918.08.00	981.43.00	858.44.00	1312.09.00	1139.01.00	867.25.00	817.33.00	852.58.00	936.26.00	1284.38.00	949.16.00
FBgn0000376	773.03.00	129.34.00	1623.28.00	12.05	94.13.00	154.38.00	11.38	776.09.00	271.54.00	44.06.00	367.56.00	500.51.00
FBgn0000377	24.57.00	1489.46.00	140.53.00	30.35.00	934.57.00	47.53.00	132.37.00	171.52.00	67.11.00	56.42.00	1093.49.00	162.52.00
